ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
10931,https://catalogus.co.mz/wp-content/uploads/2024/04/436235263_408135598603818_7373823326406927337_n-1-1.jpg,/2024/04/436235263_408135598603818_7373823326406927337_n-1-1.jpg,436235263_408135598603818_7373823326406927337_n-1-1.jpg,,,,"436235263_408135598603818_7373823326406927337_n (1)"
10926,https://catalogus.co.mz/wp-content/uploads/2024/04/436235263_408135598603818_7373823326406927337_n-1.jpg,/2024/04/436235263_408135598603818_7373823326406927337_n-1.jpg,436235263_408135598603818_7373823326406927337_n-1.jpg,,,,"436235263_408135598603818_7373823326406927337_n (1)"
10895,https://catalogus.co.mz/wp-content/uploads/2024/04/PLGdSA2024-Comunicado-Imprensa.png,/2024/04/PLGdSA2024-Comunicado-Imprensa.png,PLGdSA2024-Comunicado-Imprensa.png,,,,"PLGdSA2024 Comunicado Imprensa"
10886,https://catalogus.co.mz/wp-content/uploads/2024/04/Cartaz-PNLI-1.jpeg,/2024/04/Cartaz-PNLI-1.jpeg,Cartaz-PNLI-1.jpeg,,,,"Cartaz PNLI (1)"
10881,https://catalogus.co.mz/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-10-at-11.28.49.jpeg,/2024/04/WhatsApp-Image-2024-04-10-at-11.28.49.jpeg,WhatsApp-Image-2024-04-10-at-11.28.49.jpeg,,,,"WhatsApp Image 2024-04-10 at 11.28.49"
10877,https://catalogus.co.mz/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-09-at-13.51.34-750x500-1.jpeg,/2024/04/WhatsApp-Image-2024-04-09-at-13.51.34-750x500-1.jpeg,WhatsApp-Image-2024-04-09-at-13.51.34-750x500-1.jpeg,,,,WhatsApp-Image-2024-04-09-at-13.51.34-750x500
10869,https://catalogus.co.mz/wp-content/uploads/2024/04/434370254_1189487075572495_215762300219516882_n.jpg,/2024/04/434370254_1189487075572495_215762300219516882_n.jpg,434370254_1189487075572495_215762300219516882_n.jpg,,,,434370254_1189487075572495_215762300219516882_n
10857,https://catalogus.co.mz/wp-content/uploads/2024/04/420203325_757213189871360_4075308645246457767_n.jpg,/2024/04/420203325_757213189871360_4075308645246457767_n.jpg,420203325_757213189871360_4075308645246457767_n.jpg,,,,420203325_757213189871360_4075308645246457767_n
10820,https://catalogus.co.mz/wp-content/uploads/2024/03/Residencia-UP.jpg,/2024/03/Residencia-UP.jpg,Residencia-UP.jpg,,,,Residencia-UP
10816,https://catalogus.co.mz/wp-content/uploads/2024/03/image_6483441.jpg,/2024/03/image_6483441.jpg,image_6483441.jpg,,,,image_6483441
10803,https://catalogus.co.mz/wp-content/uploads/2024/03/418986213_751077737151572_5740221515816080217_n.jpg,/2024/03/418986213_751077737151572_5740221515816080217_n.jpg,418986213_751077737151572_5740221515816080217_n.jpg,,,,418986213_751077737151572_5740221515816080217_n
10758,https://catalogus.co.mz/wp-content/uploads/2024/03/WhatsApp-Image-2024-03-22-at-4.39.24-PM.jpeg,/2024/03/WhatsApp-Image-2024-03-22-at-4.39.24-PM.jpeg,WhatsApp-Image-2024-03-22-at-4.39.24-PM.jpeg,,,,"WhatsApp Image 2024-03-22 at 4.39.24 PM"
10750,https://catalogus.co.mz/wp-content/uploads/2024/03/WhatsApp-Image-2024-03-21-at-10.52.52.jpeg,/2024/03/WhatsApp-Image-2024-03-21-at-10.52.52.jpeg,WhatsApp-Image-2024-03-21-at-10.52.52.jpeg,,,,"WhatsApp Image 2024-03-21 at 10.52.52"
10748,https://catalogus.co.mz/wp-content/uploads/2024/03/WhatsApp-Image-2024-03-20-at-12.04.02.jpeg,/2024/03/WhatsApp-Image-2024-03-20-at-12.04.02.jpeg,WhatsApp-Image-2024-03-20-at-12.04.02.jpeg,,,,"WhatsApp Image 2024-03-20 at 12.04.02"
